1;5U;58002B;16150.91;063337 -;0.00000005;0;-14198-4 0;9999
2;5;34.2462;105.3954;1847203;175.3814;186.6703;10.84744118;44578
1;11U;59001A;16150.91;585748 +;0.00000197;0;+92933-4 0;9994
2;11;32.8672;208.6623;1468109;181.4489;178.1477;11.85260937;99345
1;12U;59001B;16150.88;843087 +;0.00000026;0;-54059-5 0;9994
2;12;32.9047;126.5581;1668052;218.6555;128.2203;11.4398519;10470
1;20U;59007A;16150.94;362808 +;0.00000211;0;+83419-4 0;9999
2;20;33.349;51.2913;1667942;340.6134;13.7678;11.55181749;59427
1;29U;60002B;16150.82;228484 -;0.00000025;0;+27345-4 0;9993
2;29;48.3798;90.1039;24074;22.147;338.0477;14.74061507;239
1;45U;60007A;16150.87;888610 -;0.00000027;0;+20400-4 0;9991
2;45;66.6946;319.476;261701;311.4241;46.4632;14.33488951;53793
1;46U;60007B;16150.94;873242 +;0.00000078;0;+38853-4 0;9991
2;46;66.6911;83.103;207894;155.76;205.3464;14.48880552;24733
1;47U;60007C;16150.36;971623 +;0.00000044;0;+34814-4 0;9996
2;47;66.6638;151.8561;234821;304.8783;53.0444;14.41827848;21725
1;50U;60009B;16150.78;138232 -;0.00000121;0;-34213-3 0;9999
2;50;47.2334;33.6245;113383;236.0786;122.9179;12.2009567;89569
1;51U;60009C;16150.68;785890 -;0.00000131;0;-43753-3 0;9997
2;51;47.2123;245.4095;104888;84.2881;276.9856;12.18262147;83693
1;58U;60013A;16150.9;588179 +;0.00000086;0;+50331-5 0;9994
2;58;28.3284;40.6576;164946;60.1374;301.5454;13.46302259;39084
1;59U;60013B;16150.78;815939 +;0.00000096;0;+13035-4 0;9998
2;59;28.2481;258.7092;189235;107.2378;254.8969;13.52939141;46063
1;85U;61004C;16150.74;847649 +;0.00005541;0;+12891-2 0;9994
2;85;38.7746;343.9107;403478;32.9834;329.5411;14.15309977;20911
1;115U;60002D;16150.54;478990 +;0.00000112;0;+40900-4 0;9995
2;115;48.1655;186.8746;35532;210.7606;149.1223;14.82796239;72110
1;118U;61015C;16150.7;595516 -;0.00000035;0;+28543-4 0;9999
2;118;66.7633;203.5464;86747;330.3536;29.2645;14.01508309;1683
1;119U;61015D;16150.91;686275 +;0.00000159;0;+10240-3 0;9996
2;119;66.7269;166.5036;101919;27.7171;332.9303;14.22799861;35739
1;121U;61015F;16150.91;088304 -;0.00000036;0;+28148-4 0;9990
2;121;66.7457;158.7052;88428;43.9234;316.8833;13.99606664;12668
1;122U;61015G;16150.92;185175 +;0.00000646;0;+12725-3 0;9995
2;122;66.7521;36.2851;77931;219.3698;140.174;14.67732172;53152
1;123U;61015H;16150.9;912141 +;0.00000115;0;+65387-4 0;9999
2;123;66.6856;81.1376;108856;67.7911;293.4696;14.36615069;51878
1;124U;61015J;16150.91;807222 +;0.00000207;0;+11079-3 0;9994
2;124;66.5428;210.0093;73253;159.3881;201.0199;14.29847499;33563
1;125U;61015K;16150.91;259011 +;0.00000039;0;+70927-4 0;9993
2;125;66.8767;91.3638;80293;231.541;127.8454;14.05186261;1359
