FENGYUN;1C;;;;;;;
FENGYUN;1C;DEB;;;;;;
1;29776U;99025BS;16150.94126;0.00000007;00000-0;32175-4;0;9991
2;29776;99.1179;159.1977;22867;295.2335;123.4858;14.06329451;
FENGYUN;1C;DEB;;;;;;
1;29777U;99025BT;16151.45454;-0.00000014;00000-0;24455-4;0;9998
2;29777;99.3198;111.5849;93273;216.3914;261.4156;13.91123109;
FENGYUN;1C;DEB;;;;;;
1;29779U;99025BV;16151.73812;0.00000061;00000-0;58035-4;0;9996
2;29779;98.9887;171.0337;64108;310.9664;48.597;14.11110814;
FENGYUN;1C;DEB;;;;;;
1;29780U;99025BW;16151.84047;0.00000944;00000-0;59139-3;0;9990
2;29780;99.2658;260.1211;47513;109.2173;251.4144;14.06608677;
FENGYUN;1C;DEB;;;;;;
1;29781U;99025BX;16152.06126;0.00000001;00000-0;29586-4;0;9997
2;29781;99.0845;183.6136;78249;130.7806;284.0922;14.00147375;
FENGYUN;1C;DEB;;;;;;
1;29782U;99025BY;16150.9209;0.00000331;00000-0;24649-3;0;9994
2;29782;99.1229;125.9196;68816;118.9003;296.6743;14.00791673;
FENGYUN;1C;DEB;;;;;;
1;29783U;99025BZ;16151.24133;0.00005114;00000-0;70416-3;0;9996
2;29783;98.9326;60.6107;96009;85.7751;40.4335;14.75600228;
FENGYUN;1C;DEB;;;;;;
1;29784U;99025CA;16151.35336;0.00000339;00000-0;16193-3;0;9990
2;29784;98.9731;271.9117;63225;257.4628;168.3074;14.2492744;
FENGYUN;1C;DEB;;;;;;
1;29785U;99025CB;16151.6704;0.00002562;00000-0;53036-3;0;9991
2;29785;99.0326;33.0988;75918;295.5449;63.7913;14.59521546;
FENGYUN;1C;DEB;;;;;;
1;29786U;99025CC;16151.01302;-0.00000069;00000-0;-13485;0;9998
2;29786;99.0686;165.559;79090;5.1244;22.3984;14.07506052;
FENGYUN;1C;DEB;;;;;;
1;29788U;99025CE;16151.69488;0.00000951;00000-0;55068-3;0;9993
2;29788;99.0085;185.9414;47551;1.8458;117.4644;14.10812561;
FENGYUN;1C;DEB;;;;;;
1;29789U;99025CF;16151.46131;0.00000324;00000-0;44668-3;0;9994
2;29789;99.6972;58.3126;312946;331.6554;81.2155;13.47604839;
FENGYUN;1C;DEB;;;;;;
1;29790U;99025CG;16151.74371;0.00000217;00000-0;10424-3;0;9997
2;29790;99.1376;312.4714;83045;157.0836;203.4083;14.27352614;
FENGYUN;1C;DEB;;;;;;
1;29791U;99025CH;16151.8613;0.00000981;00000-0;37429-3;0;9990
2;29791;99.023;291.7977;62826;211.3351;302.2702;14.32131663;
FENGYUN;1C;DEB;;;;;;
1;29792U;99025CJ;16150.69376;0.00000253;00000-0;18337-3;0;9996
2;29792;99.0716;199.3526;56600;91.056;29.9697;14.04620207;
FENGYUN;1C;DEB;;;;;;
1;29793U;99025CK;16152.20348;0.00000358;00000-0;27638-3;0;9993
2;29793;98.4327;226.1752;151723;342.5294;77.7989;13.93329527;
FENGYUN;1C;DEB;;;;;;
1;29794U;99025CL;16152.18715;0.00000213;00000-0;14359-3;0;9994
2;29794;98.2586;226.2424;165800;243.8743;184.5322;14.03205141;
FENGYUN;1C;DEB;;;;;;
1;29795U;99025CM;16152.23688;0.00000108;00000-0;11138-3;0;9995
2;29795;98.9335;50.4047;114450;110.7092;15.9915;13.91656764;
FENGYUN;1C;DEB;;;;;;
1;29796U;99025CN;16150.94369;0.00000543;00000-0;35247-3;0;9993
2;29796;99.1441;151.0687;54625;293.954;140.687;14.06315572;
FENGYUN;1C;DEB;;;;;;
1;29798U;99025CQ;16151.92173;0.00000804;00000-0;64468-3;0;9992
2;29798;99.3358;123.9986;124254;313.8607;104.9088;13.90284542;
FENGYUN;1C;DEB;;;;;;
1;29800U;99025CS;16151.94271;0.00000822;00000-0;69167-3;0;9992
2;29800;98.3035;138.5991;154839;148.2292;268.6275;13.8492387;
FENGYUN;1C;DEB;;;;;;
1;29801U;99025CT;16151.88138;0.00000071;00000-0;40177-4;0;9995
2;29801;98.7934;265.6876;107951;40.7538;69.3605;14.33418172;
FENGYUN;1C;DEB;;;;;;
1;29802U;99025CU;16150.83991;0.00001127;00000-0;47427-3;0;9997
2;29802;98.8132;193.5437;68006;166.6649;248.6227;14.26534481;
FENGYUN;1C;DEB;;;;;;
1;29803U;99025CV;16151.72987;0.00003479;00000-0;12680-2;0;9992
2;29803;98.9909;217.7225;70622;88.8206;31.6374;14.32385237;
FENGYUN;1C;DEB;;;;;;
1;29804U;99025CW;16151.5557;-0.00000034;00000-0;75106-5;0;9993
2;29804;99.0913;169.574;97648;287.2732;202.5203;14.0361835;
FENGYUN;1C;DEB;;;;;;
1;29805U;99025CX;16151.46823;0.00000045;00000-0;89821-4;0;9991
2;29805;99.6766;132.8978;188935;229.9889;285.7405;13.71802577;
FENGYUN;1C;DEB;;;;;;
1;29806U;99025CY;16150.74524;0.00000136;00000-0;10751-3;0;9994
2;29806;99.0409;173.8129;27892;335.5495;78.921;14.07421821;
FENGYUN;1C;DEB;;;;;;
1;29807U;99025CZ;16151.88427;0.00000191;00000-0;13810-3;0;9998
2;29807;99.0249;174.7111;82323;29.6555;92.4843;14.06471244;
FENGYUN;1C;DEB;;;;;;
1;29808U;99025DA;16151.76605;0.00001927;00000-0;89977-3;0;9996
2;29808;99.0248;222.2457;35278;193.237;285.2897;14.21277069;
FENGYUN;1C;DEB;;;;;;
1;29809U;99025DB;16151.41185;0.00000254;00000-0;86803-4;0;9991
2;29809;98.865;295.1209;124374;280.5625;144.5753;14.41247847;
FENGYUN;1C;DEB;;;;;;
1;29810U;99025DC;16151.77016;0.00000209;00000-0;10724-3;0;9999
2;29810;99.2425;334.6524;69280;292.0145;190.1016;14.2515182;
FENGYUN;1C;DEB;;;;;;
1;29811U;99025DD;16151.0813;0.00002325;00000-0;10729-2;0;9995
2;29811;99.0268;199.0264;75611;212.3904;147.2619;14.20508479;
FENGYUN;1C;DEB;;;;;;
1;29812U;99025DE;16151.15824;0.00000327;00000-0;25367-3;0;9993
2;29812;98.4468;228.6701;150438;342.0309;75.0901;13.9374985;
FENGYUN;1C;DEB;;;;;;
1;29813U;99025DF;16150.59274;-0.00000092;00000-0;-27030;0;9998
2;29813;99.0656;161.6931;11619;303.969;185.2759;14.0870499;
FENGYUN;1C;DEB;;;;;;
1;29814U;99025DG;16151.78195;0.00002233;00000-0;67922-3;0;9995
2;29814;99.1443;351.2548;53365;177.2993;315.5212;14.42356972;
FENGYUN;1C;DEB;;;;;;
1;29815U;99025DH;16151.67051;0.0000066;00000-0;14000-3;0;9999
2;29815;98.4089;194.497;228656;53.4998;308.7021;14.47542288;
FENGYUN;1C;DEB;;;;;;
1;29816U;99025DJ;16151.19908;0.00001154;00000-0;33412-3;0;9997
2;29816;98.8583;237.2369;302117;217.4903;170.8702;14.23248822;
FENGYUN;1C;DEB;;;;;;
1;29817U;99025DK;16150.90613;0.00000204;00000-0;13820-3;0;9991
2;29817;98.8655;212.1207;11760;202.0883;244.9778;14.10914464;
FENGYUN;1C;DEB;;;;;;
1;29818U;99025DL;16152.23564;0.0000037;00000-0;25253-3;0;9992
2;29818;98.9153;71.5341;117356;20.6394;143.2809;14.02588407;
FENGYUN;1C;DEB;;;;;;
1;29819U;99025DM;16152.14948;-0.00000157;00000-0;-65758;0;9995
2;29819;99.0155;211.1635;200098;39.7436;13.0276;13.99701431;
FENGYUN;1C;DEB;;;;;;
1;29820U;99025DN;16151.02271;0.00000389;00000-0;29456-3;0;9991
2;29820;99.1462;175.8654;68784;142.8877;280.6571;13.98906664;
FENGYUN;1C;DEB;;;;;;
1;29821U;99025DP;16151.53435;0.0000095;00000-0;34647-3;0;9997
2;29821;99.285;153.5446;400039;53.0559;61.3971;13.99089749;
FENGYUN;1C;DEB;;;;;;
1;29825U;99025DT;16151.76539;0.00008337;00000-0;56084-3;0;9999
2;29825;98.7085;91.5422;136613;19.7765;340.8679;14.99658264;
FENGYUN;1C;DEB;;;;;;
1;29827U;99025DV;16151.09374;0.0000014;00000-0;89456-4;0;9995
2;29827;98.7782;184.5078;25209;283.1978;138.5075;14.18071375;
FENGYUN;1C;DEB;;;;;;
1;29828U;99025DW;16150.71494;0.00000234;00000-0;17988-3;0;9990
2;29828;99.0857;210.0472;66626;138.3428;348.7083;14.01728068;
FENGYUN;1C;DEB;;;;;;
1;29832U;99025EA;16151.19284;0.00000084;00000-0;27303-4;0;9997
2;29832;98.8836;15.5131;205159;42.3144;319.3673;14.52509699;
FENGYUN;1C;DEB;;;;;;
1;29833U;99025EB;16151.36318;0.00000853;00000-0;16784-3;0;9993
2;29833;99.0502;91.1616;159922;125.0686;236.5628;14.57860097;
FENGYUN;1C;DEB;;;;;;
1;29834U;99025EC;16150.88261;0.00004022;00000-0;36462-3;0;9992
2;29834;98.2819;112.6186;127509;231.7611;182.4157;14.89942786;
FENGYUN;1C;DEB;;;;;;
1;29835U;99025ED;16151.56714;0.00000026;00000-0;22114-4;0;9993
2;29835;99.0393;29.1561;171460;260.5539;163.3645;14.41385842;
FENGYUN;1C;DEB;;;;;;
1;29836U;99025EE;16151.58594;0.00000349;00000-0;95666-4;0;9990
2;29836;97.9906;4.1705;181544;63.2982;355.6034;14.43461207;
FENGYUN;1C;DEB;;;;;;
1;29837U;99025EF;16151.51672;0.00012283;00000-0;94241-3;0;9993
